Annotation Specialist,Subjective Impression,OneWord,Song,Performer,Performer2,Performer3,Performer4,Performer5,label,label2,label3,label4,,producer,producer2,producer3,producer4,producer5,producer6,Producer7,Producer8,songwriters,songwriter2,songwriter3,songwriter4,songwriter5,songwriter6,songwriter7,songwriter8,songwriter9,songwriter10,songwriter11,songwriter12,songwriter13,songwriter14,songwriter15,songwriter16,songwriter17,songwriter18,songwriter19,songwriter20,songwriter21,songwriter22,songwriter23,songwriter24,songwriter25,songwriter26,songwriter27,songwriter28,songwriter29,songwriter30
Lux,,,Another Sad Love Song,Toni Braxton,,,,,LaFace,,,,,Babyface,Daryl Simmons,L.A. Reid,,,,,,Daryl Simmons,Babyface,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Please Forgive Me,Bryan Adams,,,,,A&M,,,,,Bryan Adams,Robert Lange,,,,,,,Bryan Adams,Robert Lange,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Cantaloop (Flip Fantasia),US3,,,,,Blue Note Records,,,,,Geoff Wilkinson,Mel Simpson,,,,,,,Herbie Hancock,Rahsaan Kelly,Geoff Wilkinson ,Mel Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Only Time,Enya,,,,,WEA,Reprise,,,,Nicky Ryan,,,,,,,,Enya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Someone You Loved,Lewis Capaldi,,,,,Vertigo,,,,,TMS,,,,,,,,Lewis Capaldi,Samuel Romans,Thomas Barnes,Peter Kelleher,Benjamin Kohn,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,this song is an anthem,RIPS,Only Girl (In The World),Rihanna,,,,,Def Jam,SRP,,,,Stargate,Sandy Vee,Kuk Harrell,,,,,,Crystal Johnson,Mikkel S. Eriksen,Tor Erik Hermansen,Sandy Wilhelm,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Pon de Replay,Rihanna,,,,,Def Jam,SRP,,,,Vada Nobles,Carl Sturken,Evan Rogers,,,,,,Alisha Brooks,Vada Nobles,Carl Sturken,Evan Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Achy Breaky Heart,Billy Ray Cyrus,,,,,PolyGram,Mercury,,,,Joe Scaife,Jim Cotton,,,,,,,Don Von Tress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,A Milli,Lil Wayne,,,,,Young Money,Cash Money,Universal Motown,,,Bangladesh,,,,,,,,Dwayne Carter,Shondrae Crawford,Kamaal Fareed,Ali Shaheed Muhammad,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Say Aah,Trey Songz,Fabolous,,,,Atlantic,Songbook,,,,Young Yonny,Troy Taylor,,,,,,,Tremaine Neverson,John Jackson,Nathan Walker,Ronald Ferebee,Don Corell,"Tony ""Chef Tone"" Scales",,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Roll To Me,Del Amitri,,,,,A&M,,,,,Al Clay,,,,,,,,Justin Currie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Scar Tissue,Red Hot Chili Peppers,,,,,EMI America,Enigma,,,,,,,,,,,,Flea,Frusciante,Kiedis,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Suit & Tie,Justin Timberlake,Jay Z,,,,RCA,,,,,Timbaland,J-Roc,Timberlake,,,,,,Timberlake,"Tim ""Timbaland"" Mosley","Jerome ""J-Roc"" Harmon",James Fauntleroy,Shawn Carter,John Wilson,Charles Still,Terry Stubbs Rosheed,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Show Me The Meaning Of Being Lonely,Backstreet Boys,,,,,Jive,,,,,Max Martin,Kristian Lundin,,,,,,,Max Martin,Herbie Crichlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Over My Head (Cable Car),The Fray,,,,,Epic,,,,,Mike Flynn,Aaron Johnson,,,,,,,Isaac Slade,Joe King,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,i used to listen to this song and imagine superheroes doin stuff,Rips,Bulletproof,La Roux,,,,,Polydor,,,,,Ben Langmaid,Elly Jackson,,,,,,,Elly Jackson,Ben Langmaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Clarity,Zedd,Foxes,,,,Interscope,,,,,Zedd,,,,,,,,Anton Zaslavski,Holly Hafermann,Matthew Koma,Porter Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Talking Body,Tove Lo,,,,,Island,Republic,,,,The Struts,Shellback,,,,,,,Tove Nilsson,Jakob Jerlström,Ludvig Söderberg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Breakfast At Tiffany's,Deep Blue Something,,,,,Interscope,Rainmaker,,,,David Castell,,,,,,,,Todd Pipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lux,,,Because I Love You (The Postman Song),Stevie B,,,,,LMR,RCA,,,,Stevie B,,,,,,,,Warren Allen Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Don't Mess With My Man,Nivea,Brandon Casey,Brian Casey,,,Jive,,,,,Bryan-Michael Cox,,,,,,,,Bryan-Michael Cox,Brandon Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,"not super poppy, but still good",Rips,Slow Jamz,Twista,Jamie Foxx,Kanye West,,,Atlantic,Roc-A-Fella,,,,Kanye West,,,,,,,,Carl Mitchell,Kanye West,Burt Bacharach,Hal David,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,1-800-273-8255,Logic ,Khalid,Alessia Cara,,,Visionary,Def Jam,,,,Logic,6ix,,,,,,,Sir Robert Bryson Hall II,Dylan Wiggins,Arjun Ivatury,Alessia Caracciolo,Khalid Robinson,Drew Taggart,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb,Nine Stories,,,,RCA,BMG,,,,Juan Patiño,,,,,,,,Lisa Loeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,used to love this,Rips,Am I Wrong,Nico,Vinz,,,,5 Star,EMI,Warner Bros.,,,Cisse Methods,,,,,,,,William Wiik Larsen,Nico Sereba,Vincent Dery,Abdoulie Jallow,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,Paralyzer,Finger Eleven,,,,,Wind-up,,,,,Johnny K,,,,,,,,Scott Anderson,Sean Anderson,Rich Beddoe,James Black,Rick Jackett,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,club music,Rips,Animals,Martin Garrix,,,,,Spinnin',Stmpd (Reissue at 2023),,,,Martin Garrix,,,,,,,,Martijn Garritsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Baby Got Back,Sir Mix-A-Lot,,,,,Def American,Reprise,,,,Rick Rubin,Sir Mix-a-Lot,,,,,,,Sir Mix-a-Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,not a good remix,Doesn't rip,"Can't Help Falling In Love (From ""Sliver"")",UB40,,,,,RCA Victor,,,,,Elvis Presley (Joseph Lilley for Paramount Pictures),,,,,,,,Hugo Peretti,Luigi Creatore,George David Weiss,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,Smooth,Santana ,,,,,Arista,BMG,,,,Matt Serletic,,,,,,,,Rob Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,Love this song,Rips,Blurred Lines,Robin Thicke ,T.I. ,Pharrell,,,Star Trak,Interscope,,,,Pharrell Williams,,,,,,,,Robin Thicke,Pharrell Williams,Clifford Harris Jr.,Marvin Gaye,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Rude,MAGIC!,,,,,Latium,RCA,Sony,,,Adam Messinger,,,,,,,,Nasri Atweh,Adam Messinger,Mark Pellizzer,Ben Spivak,Alex Tanas,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Sexy And I Know It,LMFAO,,,,,Interscope,,,,,Audiobot,Redfoo,GoonRock,,,,,,Stefan Kendal Gordy,David Jamahl Listenbee,Erin Beck,George M. Robertson,Kenneth Oliver,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Cheerleader,OMI,,,,,Oufah,Ultra,Columbia,,,OMI,Clifton Dillon,Felix Jaehn,,,,,,Omar Samuel Pasley,Clifton Dillon,Mark Bradford,Ryan Dillon,Sly Dunbar,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,Always On Time,Ja Rule ,Ashanti,,,,Def Jam,Murder Inc.,,,,Irv Gotti,,,,,,,,Jeffrey Atkins,7 Aurelius,Irving Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,lowk slow jam,Rips,Check On It,Beyonce,Slim Thug,,,,Columbia,Music World,,,,Swizz Beatz,,,,,,,,Beyoncé Knowles,Kasseem Dean,Bernard Freeman,Sean Garrett,Angela Beyincé,Stayve Thomas,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,All About That Bass,Meghan Trainor,,,,,Epic,,,,,Kevin Kadish,,,,,,,,Meghan Trainor,Kevin Kadish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Black Beatles,Rae Sremmurd ,,,,,EarDrummers,Interscope,,,,Mike WiLL Made It,,,,,,,,Khalif Brown,Aaquil Brown,Radric Davis,Michael Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Creep,TLC,,,,,LaFace,Arista,,,,Dallas Austin,,,,,,,,Dallas Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Boom Boom Pow,The Black Eyed Peas,,,,,Interscope,,,,,will.i.am,,,,,,,,William Adams,Allan Pineda,Jaime Gomez,Stacy Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Bad And Boujee,Migos,Lil Uzi Vert,,,,,,,,,,,,,,,,,Quavious Keyate Marshall,Kiari Kendrell Cephus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Bodak Yellow (Money Moves),Cardi B,,,,,Atlantic,,,,,J. White Did It,,,,,,,,Belcalis Almanzar,Anthony White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,would listen to this at the gym,Rips,"1, 2 Step",Ciara,Missy Elliott,,,,LaFace,Sho'nuff,,,,Jazze Pha,,,,,,,,Ciara Harris,Phalon Alexander,Missy Elliott,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Take Me To Church,Hozier,,,,,Rubyworks,Island,Columbia,,,Rob Kirwan,Joe Fisher,,,,,,,Andrew Hozier-Byrne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Ain't It Funny,Jennifer Lopez,Ja Rule,,,,Epic,,,,,Irv Gotti,7,Cory Rooney,,,,,,Jennifer Lopez,Cory Rooney,Irving Lorenzo,Jeffrey Atkins,Tiheem Crocker,Ashanti Douglas,Craig Mack,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Crazy In Love,Beyonce ,Jay Z,,,,Columbia,Music World,,,,Rich Harrison,Beyoncé Knowles,,,,,,,Rich Harrison,Beyoncé Knowles,Eugene Record,Shawn Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,love this song,Rips,Temperature,Sean Paul,,,,,Atlantic,VP,,,,"Rohan ""Snowcone"" Fuller",,,,,,,,Sean Paul Henriques,"Adrian ""IZES"" Marshall",Rohan Fuller,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,"""I'm in love with you""",Rips,Bleeding Love,Leona Lewis,,,,,Syco Music,J,,,,Ryan Tedder,,,,,,,,Jesse McCartney,Ryan Tedder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,middle school,Rips,Panda,Desiigner,,,,,GOOD,Def Jam,,,,Menace,,,,,,,,Sidney Selby III,Adnan Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,Doesn't Really Matter,Janet,,,,,Def Jam,Virgin,,,,Jimmy Jam and Terry Lewis,Janet Jackson,,,,,,,Janet Jackson,James Harris III,Terry Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,"Right Here, Right Now",Jesus Jones,,,,,Food,EMI,SBK,,,Martyn Phillips,,,,,,,,Mike Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Baby-Baby-Baby,TLC,,,,,LaFace,Arista,,,,L.A. Reid,Babyface,Daryl Simmons,,,,,,Kenneth Edmonds,Antonio Reid,Daryl Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,Blame It,Jamie Foxx,T-Pain,,,,J,,,,,"Christopher ""Deep"" Henderson",,,,,,,,James T. Brown,"John Conte, Jr.","Christopher ""Deep"" Henderson",Brandon Melanchon,Terius Nash,David Ballard,Christopher Stewart,Faheem Najm,Nathan L. Walker,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,All That She Wants,Ace Of Base,,,,,Mega,London,Arista,,,Denniz Pop,Jonas Berggren,Ulf Ekberg,,,,,,Jonas Berggren,Ulf Ekberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Complicated,Avril Lavigne,,,,,Arista,,,,,The Matrix,,,,,,,,Avril Lavigne,Lauren Christy,Scott Spock,Graham Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,too slow,Doesn't rip,Sukiyaki,A Taste Of Honey,,,,,Toshiba-EMI (Japan),Capitol/EMI (US and Canada),HMV/EMI (UK),,,Kōji Kusano,,,,,,,,Rokusuke Ei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,Another Night,Real McCoy,,,,,Hansa,,,,,Juergen Wind (J.Wind),"Frank ""Quickmix"" Hassas",,,,,,,Juergen Wind (J. Wind),"Frank ""Quickmix"" Hassas",Olaf Jeglitza,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,Stand Up,Ludacris,Shawnna,,,,Disturbing tha Peace,Island Def Jam Music Group,,,,West,Ludacris (co.),,,,,,,Christopher Bridges,Kanye West,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Buy U A Drank (Shawty Snappin'),T-Pain,Yung Joc,,,,Nappy Boy,Konvict,Jive,,,T-Pain,,,,,,,,Faheem Najm,Jasiel Robinson,Jonathan Smith,Darryl Richardson,Earl Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,Candy Rain,Soul For Real,,,,,Uptown,MCA,,,,Heavy D,Poke,Red Hot Lover Tone,,,,,,Heavy D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,7 Years,Lukas Graham,,,,,Copenhagen,Warner Bros.,,,,Future Animals,Pilo,,,,,,,Lukas Forchhammer,Stefan Forrest,Morten Ristorp,Morten Pilegaard,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,Rump Shaker,Wreckx-N-Effect,,,,,MCA,,,,,David Wynn,Teddy Riley,Ty Fyffe,Aqil Davidson,Markell Riley,,,,Aqil Davidson,Teddy Riley,Pharrell Williams,David Wynn,Anton Hollins,Darren Callis,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Day 'N' Nite,Kid Cudi,,,,,GOOD,Fool's Gold,Universal Motown,Data,,Dot da Genius,Kid Cudi,,,,,,,Scott Mescudi,Oladipo Omishore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Talk Dirty,Jason Derulo,2 Chainz,,,,Beluga Heights,Warner Bros.,,,,Ricky Reed,,,,,,,,Jason Desrouleaux,Tauheed Epps,Eric Frederic,Jason Evigan,Sean Douglas,Ori Kaplan,Tamir Muskat,Tomer Yosef,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Be Without You,Mary J. Blige,,,,,Matriarch,Geffen,,,,Ron Fair,B. Cox,Young Smoke,,,,,,Mary J. Blige,Johnta Austin,Bryan-Michael Cox,Jason Perry,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Single Ladies (Put A Ring On It),Beyonce,,,,,Columbia,,,,,Tricky Stewart,The-Dream,Beyoncé,,,,,,Beyoncé Knowles,Tricky Stewart,Terius Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,SexyBack,Justin Timberlake,,,,,Jive,Zomba,,,,Timbaland,Justin Timberlake,"Nate ""Danja"" Hills",,,,,,Justin Timberlake,Tim Mosley,"Nate ""Danja"" Hills",,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,kinda,Rips,21 Questions,50 Cent,Nate Dogg,,,,Interscope,Shady,Aftermath,,,Dirty Swift,,,,,,,,Curtis Jackson,Nick Corrado,Kevin Risto,Jimmy Cameron,Vela M. Cameron,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,kinda,Rips,Sunshine,Lil' Flip,Lea,,,,Sony Urban Music,Sucka Free,Columbia,,,The Synphony,,,,,,,,Wesley E. Weston,Carlos Hassan,Sandy Lal,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Smack That,Akon ,Eminem,,,,Konvict,UpFront,SRC,Universal Motown,,Eminem,,,,,,,,Aliaune Thiam,Marshall Mathers,Luis Resto,Mike Strange,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Super Bass,Nicki Minaj,,,,,Young Money,Cash Money,Universal Motown,,,Kane Beatz,,,,,,,,Onika Maraj,Daniel Johnson,Esther Dean,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Stereo Hearts,Gym Class Heroes ,Adam Levine,,,,Decaydance,Fueled by Ramen,,,,Benny Blanco,Robopop,,,,,,,Travie McCoy,Adam Levine,Benjamin Levin,Sterling Fox,Ammar Malik,Dan Omelio,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,So Much In Love,All-4-One,,,,,Parkway Records,,,,,,,,,,,,,George Williams,Bill Jackson,Roy Straigis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Promiscuous,Nelly Furtado,Timbaland,,,,Geffen,MMG,,,,Timbaland,Danja,,,,,,,"Timothy ""Attitude"" Clayton",Tim Mosley,Nelly Furtado,Nate Hills,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Black Widow,Iggy Azalea ,Rita Ora,,,,Def Jam,,,,,Stargate,,,,,,,,Iggy Azalea,Rita Ora,Tor Erik Hermansen,Mikkel Storleer Eriksen,Benjamin Levin,Katy Perry,Sarah Hudson,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Attention,Charlie Puth,,,,,Artist Partner,Atlantic,,,,Charlie Puth,,,,,,,,Charlie Puth,Jacob Kasher,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,A Thousand Miles,Vanessa Carlton,,,,,A&M,,,,,Ron Fair,Curtis Schweitzer,,,,,,,Vanessa Carlton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Be My Lover,La Bouche,,,,,Arista Records,RCA Records,,,,Frank Farian,Uli Brenner,Gerd Amir Saraf,,,,,,Melanie Thornton,Uli Brenner,Gerd Amir Saraf,Lane McCray,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,Tell Me What You Want Me To Do,Tevin Campbell,,,,,Qwest,,,,,Narada Michael Walden,,,,,,,,Narada Michael Walden,Tevin Campbell,Sally Jo Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Rhythm Is A Dancer,Snap!,,,,,Arista,Logic,,,,Benito Benites,"John ""Virgo"" Garrett III",,,,,,,Benito Benites,"John ""Virgo"" Garrett III",Thea Austin,Toni C.,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,One Last Breath,Creed,,,,,Epic,Wind-up,,,,John Kurzweg,Kirk Kelsey,Creed,,,,,,Mark Tremonti,Scott Stapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,Dip It Low,Christina Milian,,,,,Island,,,,,Poli Paul,Matt Ward,Dean Gillard,,,,,,Poli Paul,Teedra Moses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Domino,Jessie J,,,,,Lava,Universal Republic,,,,Dr. Luke,Cirkut,,,,,,,Jessica Cornish,Lukasz Gottwald,Claude Kelly,Max Martin,Henry Walter,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Broccoli,D.R.A.M.,Lil Yachty,,,,Atlantic,Empire,,,,J Gramm,Chahayed,Karl Rubin,,,,,,Shelley Massenburg-Smith,Miles McCollum,Rogét Chahayed,Julian Gramma,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Rips,Bad At Love,Halsey,,,,,Astralwerks,,,,,Ricky Reed,Rogét Chahayed,,,,,,,Ashley Frangipane,Eric Frederic,Justin Tranter,Rogét Chahayed,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,,Doesn't rip,Picture,Kid Rock ,Sheryl Crow,,,,Atlantic,,,,,Kid Rock,,,,,,,,Kid Rock,Sheryl Crow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie,too slow,Doesn't rip,Save The Best For Last,Vanessa Williams,,,,,Wing,Mercury,,,,Keith Thomas,,,,,,,,Phil Galdston,Wendy Waldman,Jon Lind,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,<3 Jen,Rips,Jenny From The Block,Jennifer Lopez,Jadakiss,Styles,,,Epic,,,,,Troy Oliver,Cory Rooney,Poke and Tone,,,,,,Jennifer Lopez,Troy Oliver,Andre Deyo,Samuel Barnes,Jean Claude Olivier,Jose Fernando Arbex Miro,Lawrence Parker,Scott Sterling,Michael Oliver,David Styles,Jason Phillips,,,,,,,,,,,,,,,,,,,
Masha,Classic,Rips,Knock You Down,Keri Hilson ,Ne-Yo,Kanye West,,,,,,,,,,,,,,,,Nate “Danja” Hills,Keri Hilson ,Ne-Yo,Kanye West,Kevin Cossom,Marcella Araica,,,,,,,,,,,,,,,,,,,,,,,,
Masha,Boring,Doesn't rip,Nothing Compares 2 U,Sinead O'Connor,,,,,Chrysalis,,,,,Sinéad O'Connor,Nellee Hooper,,,,,,,Prince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,Always sunny in Philly!,Rips,Motownphilly,Boyz II Men,,,,,Motown,,,,,Dallas Austin,,,,,,,,Dallas Austin,Michael Bivins,Nathan Morris,Shawn Stockman,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,idc about it,Doesn't rip,Live And Learn,Joe Public,,,,,Columbia,,,,,Joe Public,Lionel Job,,,,,,,Dwight Wyatt,Jake Carter,Joe Sayles,Kevin Scott,Nathan Sayles,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,Duh,Rips,Mambo No. 5 (A Little Bit Of...),Lou Bega,,,,,,,,,,,,,,,,,,Dámaso Pérez Prado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,I wish they played this at the club,Rips,He Wasn't Man Enough,Toni Braxton,,,,,LaFace,Arista,,,,"Rodney ""Darkchild"" Jerkins",,,,,,,,Rodney Jerkins,Fred Jerkins III,LaShawn Daniels,"Harvey Mason, Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,Avril 4ever,Rips,I'm With You,Avril Lavigne,,,,,Arista,,,,,The Matrix,,,,,,,,Avril Lavigne,Lauren Christy,Scott Spock,Graham Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,standard fboy,Doesn't rip,Obsession (No Es Amor),Frankie J,Baby Bash,,,,Premium Latin,,,,,Franklin Romero,,,,,,,,"Anthony ""Romeo"" Santos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,scratches my brain,Rips,Like You,Bow Wow,Ciara,,,,Columbia,Sony Urban Music,,,,Jermaine Dupri,Bryan Michael Cox,,,,,,,Jermaine Dupri,Johnta Austin,Jaron Alson,Ricky Bell,Ralph Tresvant,,,,,,,,,,,,,,,,,,,,,,,,,
"Masha, Sheniya","Great beat, great instrumentals, great bass, fuckin slaps",Rips,Hotel Room Service,Pitbull,,,,,Mr. 305,Polo Grounds,J,RMG,,Jim Jonsin,,,,,,,,John Reid,Marc Kinchen,Mark Ross,David Hobbs,Nile Rodgers,Hugh Brankin,Armando Perez,Graham Wilson,Ross Campbell,James Scheffer,Bernard Edwards,Luther Campbell,Christopher Wongwon,,,,,,,,,,,,,,,,,
Masha,DUH,Rips,Listen To Your Heart,Roxette,,,,,Parlophone,EMI,,,,Clarence Öfwerman,,,,,,,,Per Gessle,Mats Persson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,Bops,Rips,How Do U Want It/California Love,2Pac,K-Ci,JoJo,,,Death Row,Interscope,,,,"Johnny ""J""",,,,,,,,Tupac Shakur,Johnny Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,chill af,Rips,"Last Night (From ""The Nutty Professor"")",Az Yet,,,,,LaFace,Arista,,,,Babyface,Mervyn Warren,,,,,,,Keith Andes,Babyface,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,,,"No, No, No",Destiny's Child,,,,,Columbia,,,,,Vincent Herbert,Rob Fusari,Wyclef Jean,Che Greene,Jerry Duplessis,,,,Vincent Herbert,Rob Fusari,Mary Brown,Calvin Gaines,Barry White,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,,Rips,It's My Life,Bon Jovi,,,,,Island,Mercury,,,,Jon Bon Jovi,Richie Sambora,Luke Ebbin,,,,,,Jon Bon Jovi,Richie Sambora,Max Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,,,Here Without You,3 Doors Down,,,,,Republic,Universal,,,,Rick Parashar,,,,,,,,Brad Arnold,Todd Harrell,Chris Henderson,Matt Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,,Rips,If I Ain't Got You,Alicia Keys,,,,,J,,,,,Alicia Keys,,,,,,,,Alicia Keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,,Rips,Gangnam Style,PSY,,,,,YG,Universal Republic,School Boy,,,Park Jae-sang,Yoo Gun-hyung,Yang Hyun-suk,,,,,,Park Jae-sang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,Can't deny the rip,Rips,Let It Go,Demi Lovato,,,,,Walt Disney,,,,,Kristen Anderson-Lopez,Robert Lopez,Christophe Beck,Chris Montan,Tom MacDougall,,,,Kristen Anderson-Lopez,Robert Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,,,Funkdafied,Da Brat,,,,,So So Def Recordings,,,,,Jermaine Dupri,,,,,,,,Jermaine Dupri,Shawntae Harris,Eldra DeBarge,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,,,In My Bed,Dru Hill,,,,,Island,,,,,Ralph B. Stacy,Daryl Simmons,,,,,,,Daryl Simmons,Ralph Stacy,Raphael Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Masha,Raf",iconic intro and beat throught the song,rips,Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",,,,,Elektra,Goldmind,,,,Timbaland,Missy Elliott,,,,,,,Timothy Mosley,Melissa Elliott,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masha,,,No Such Thing,John Mayer,,,,,Columbia,Aware,,,,John Alagia,,,,,,,,John Mayer,Clay Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,
